complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,"Description mentions ""melting"", which indicates Heat Hazard; assigned Standard priority.",
AM-202402,Heat Hazard,Standard,"Description mentions ""temperature"", which indicates Heat Hazard; assigned Standard priority.",
AM-202405,Other,Standard,"No category keyword such as ""pothole"", ""flood"", or ""garbage"" appears in the description ""Dead trees with split branches. Fall risk to walkers. 3 trees affected."".",NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,"Description mentions ""heatwave"", which indicates Heat Hazard; assigned Standard priority.",
AM-202407,Road Damage,Urgent,"Description mentions ""paving"", which indicates Road Damage; assigned Urgent priority.",
AM-202410,Pothole,Standard,"Description mentions ""pothole"", which indicates Pothole; assigned Standard priority.",
AM-202414,Streetlight,Standard,"Description mentions ""unlit"", which indicates Streetlight; assigned Standard priority.",
AM-202417,Other,Standard,"Description mentions both ""waste"", ""heritage"", so the category is genuinely ambiguous between Waste and Heritage Damage.",NEEDS_REVIEW
AM-202421,Noise,Low,"Description mentions ""music"", which indicates Noise; assigned Low priority.",
AM-202424,Heat Hazard,Standard,"Description mentions ""bubbling"", which indicates Heat Hazard; assigned Standard priority.",
AM-202429,Heat Hazard,Standard,"Description mentions ""temperature"", which indicates Heat Hazard; assigned Standard priority.",
AM-202431,Other,Standard,"Description mentions both ""subsidence"", ""heritage"", so the category is genuinely ambiguous between Road Damage and Heritage Damage.",NEEDS_REVIEW
AM-202435,Heat Hazard,Standard,"Description mentions ""heat"", which indicates Heat Hazard; assigned Standard priority.",
AM-202444,Waste,Standard,"Description mentions ""waste"", ""bin"", which indicates Waste; assigned Standard priority.",
AM-202445,Heat Hazard,Standard,"Description mentions ""sun"", which indicates Heat Hazard; assigned Standard priority.",
